,ruleid,rule,upi,fresp,code,function
137,3,Nothing is upright,ocxraeygfp,two pimwits need to be leaned onto each other and there needs to be another mini block of that color,d,"exists(function(x1){exists(function(x2){exists(function(x3){and(and(hor(x1,x2,'contact'), equal(x3,1,'size')), not(equal(x2,'upright','orientation')))}, X)}, X)}, X)"
138,3,Nothing is upright,hcpsmvwzlp,none of the blocks can be upright,c,"forall(function(x1){not(equal(x1,'upright','orientation'))}, X)"
139,3,Nothing is upright,asqvqojvif,the two red pieces need to be bunched together,d,"atleast(function(x1){equal(x1,'red','colour')}, 2, X)"
140,3,Nothing is upright,jfzfqqzvmb,they have to be connected like three or two of them,d,"exists(function(x1){exists(function(x2){hor(x1,x2,'contact')}, X)}, X)"
141,3,Nothing is upright,onlemdbnfq,they have to be pointed to an angle and they have to be pointed to the side or down,o,"forall(function(x1){not(equal(x1,'upright','orientation'))}, X)"
142,3,Nothing is upright,aslbalavqe,a smaller block cannot go on top of a bigger one and there always has to be a cube sideways,d,"forall(function(x1){forall(function(x2){exists(function(x3){and(or(less(x1,x2,'size'), not(hor(x1,x2,'stacked'))), and(less(x1,x2,'size'), not(equal(x3,'upright','orientation'))))}, X)}, X)}, X)"
143,4,One is blue,vcbkdskksk,you can just have one of each color,o,"forall(function(x1){forall(function(x2){or(not(equal(x1,x2,'object')), not(equal(x1,x2,'colour')))}, X)}, X)"
144,4,One is blue,mesbxrjdpg,there has to be one of each type,o,"exists(function(x1){exists(function(x2){exists(function(x3){and(and(equal(x1,'red','colour'), equal(x2,'green','colour')), equal(x3,'blue','colour'))}, X)}, X)}, X)"
145,4,One is blue,zwrcdrrtwi,there has at be at least one little blue triangle,d,"exists(function(x1) {and(equal(x1,'blue','colour'), equal(x1,1,'size'))}, X)"
146,4,One is blue,hibacpjdfh,they cannot all be standing up they have to be all slanted and they have to all be different colors,d,"forall(function(x1){forall(function(x2){and(or(not(equal(x1,x2,'object')), not(equal(x1,x2,'colour'))), not(equal(x1,'upright','orientation')))}, X)},X)"
147,4,One is blue,ovngoiiqro,you have to have all three colors,d,"exists(function(x1){exists(function(x2){exists(function(x3){and(and(equal(x1,'red','colour'),equal(x2,'green','colour')), equal(x3,'blue','colour'))}, X)}, X)}, X)"
148,4,One is blue,jafwjckfvc,there has to be a blue block,u,"exists(function(x1){equal(x1,'blue','colour')}, X)"
149,4,One is blue,wdrpuuyzji,they have to be touching each other but if they are the same color they have to be on top of each other,d,"exists(function(x1){exists(function(x2){or(hor(x1,x2,'stacked'), and(not(equal(x1,x2,'colour')), hor(x1,x2,'contact')))}, X)}, X)"
150,4,One is blue,yjheaxptzh,there can only be one block leaning,d,"exactly(function(x1){not(equal(x1, 'upright','orientation'))}, 1,X)"
151,4,One is blue,sgygmhiwae,one of them has to be touching it with its point in midair while there is just one standing there,d,
